name,color
 Android,#9ACD32
 C,#377DB8
 Java,#F5DEB3
 Objective C,#EE82EE
 Swift,#40E0D0
 R,#FF6347
 Matlab,#D8BFD8
 C++,#D2B48C
 Ruby,#4682B4
 Python,#00FF7F
 Perl,#FFFAFA
 HTML,#708090
 JS,#708090
 CSS,#6A5ACD
 Go,#87CEEB
 C#,#A0522D
 VB,#FFF5EE
 Scala,#2E8B57
 MYSQL,#F4A460
 PHP,#FA8072
  Android,#9ACD32
 C,#377DB8
 Java,#F5DEB3
 Objective C,#EE82EE
 Swift,#40E0D0
 R,#FF6347
 Matlab,#D8BFD8
 C++,#D2B48C
 Ruby,#4682B4
 Python,#00FF7F
 Perl,#FFFAFA
 HTML,#708090
 JS,#708090
 CSS,#6A5ACD
 Go,#87CEEB
 C#,#A0522D
 VB,#FFF5EE
 Scala,#2E8B57
 MYSQL,#F4A460
 PHP,#FA8072
 Android,#9ACD32
 C,#377DB8
 Java,#F5DEB3
 Objective C,#EE82EE
 Swift,#40E0D0
 R,#FF6347
 Matlab,#D8BFD8
 C++,#D2B48C
 Ruby,#4682B4
 Python,#00FF7F